database	gene_set	EntrezID	ensembl_gene_id
HALLMARK	ALLOGRAFT_REJECTION	1991	ENSG00000197561
HALLMARK	ALLOGRAFT_REJECTION	1029	ENSG00000147889
HALLMARK	ALLOGRAFT_REJECTION	6688	ENSG00000066336
HALLMARK	ALLOGRAFT_REJECTION	924	ENSG00000173762
HALLMARK	ALLOGRAFT_REJECTION	3112	ENSG00000241106
HALLMARK	ALLOGRAFT_REJECTION	207	ENSG00000142208
HALLMARK	ALLOGRAFT_REJECTION	6352	ENSG00000271503
HALLMARK	ALLOGRAFT_REJECTION	925	ENSG00000153563
HALLMARK	ALLOGRAFT_REJECTION	3589	ENSG00000095752
HALLMARK	ALLOGRAFT_REJECTION	8661	ENSG00000107581
HALLMARK	ALLOGRAFT_REJECTION	2113	ENSG00000134954
HALLMARK	ALLOGRAFT_REJECTION	3108	ENSG00000204257
HALLMARK	ALLOGRAFT_REJECTION	3460	ENSG00000159128
HALLMARK	ALLOGRAFT_REJECTION	27240	ENSG00000137078
HALLMARK	ALLOGRAFT_REJECTION	9734	ENSG00000048052
HALLMARK	ALLOGRAFT_REJECTION	9607	ENSG00000164326
HALLMARK	ALLOGRAFT_REJECTION	50852	ENSG00000163519
HALLMARK	ALLOGRAFT_REJECTION	2650	ENSG00000187210
HALLMARK	ALLOGRAFT_REJECTION	322	ENSG00000166313
HALLMARK	ALLOGRAFT_REJECTION	3665	ENSG00000185507
HALLMARK	ALLOGRAFT_REJECTION	2634	ENSG00000162645
HALLMARK	ALLOGRAFT_REJECTION	6223	ENSG00000105372
HALLMARK	ALLOGRAFT_REJECTION	3848	ENSG00000167768
HALLMARK	ALLOGRAFT_REJECTION	972	ENSG00000019582
HALLMARK	ALLOGRAFT_REJECTION	3600	ENSG00000164136
HALLMARK	ALLOGRAFT_REJECTION	961	ENSG00000196776
HALLMARK	ALLOGRAFT_REJECTION	3394	ENSG00000140968
HALLMARK	ALLOGRAFT_REJECTION	43	ENSG00000087085
HALLMARK	ALLOGRAFT_REJECTION	9437	ENSG00000189430
HALLMARK	ALLOGRAFT_REJECTION	1520	ENSG00000163131
HALLMARK	ALLOGRAFT_REJECTION	5788	ENSG00000081237
HALLMARK	ALLOGRAFT_REJECTION	6123	ENSG00000140986
HALLMARK	ALLOGRAFT_REJECTION	4065	ENSG00000054219
HALLMARK	ALLOGRAFT_REJECTION	717	ENSG00000166278
HALLMARK	ALLOGRAFT_REJECTION	4843	ENSG00000007171
HALLMARK	ALLOGRAFT_REJECTION	6059	ENSG00000164163
HALLMARK	ALLOGRAFT_REJECTION	6133	ENSG00000163682
HALLMARK	ALLOGRAFT_REJECTION	3578	ENSG00000145839
HALLMARK	ALLOGRAFT_REJECTION	9466	ENSG00000104998
HALLMARK	ALLOGRAFT_REJECTION	586	ENSG00000060982
HALLMARK	ALLOGRAFT_REJECTION	5199	ENSG00000126759
HALLMARK	ALLOGRAFT_REJECTION	8444	ENSG00000143479
HALLMARK	ALLOGRAFT_REJECTION	23308	ENSG00000160223
HALLMARK	ALLOGRAFT_REJECTION	3689	ENSG00000160255
HALLMARK	ALLOGRAFT_REJECTION	959	ENSG00000102245
HALLMARK	ALLOGRAFT_REJECTION	602	ENSG00000069399
HALLMARK	ALLOGRAFT_REJECTION	6890	ENSG00000168394
HALLMARK	ALLOGRAFT_REJECTION	7454	ENSG00000015285
HALLMARK	ALLOGRAFT_REJECTION	3565	ENSG00000113520
HALLMARK	ALLOGRAFT_REJECTION	5579	ENSG00000166501
HALLMARK	ALLOGRAFT_REJECTION	7334	ENSG00000177889
HALLMARK	ALLOGRAFT_REJECTION	3002	ENSG00000100453
HALLMARK	ALLOGRAFT_REJECTION	7186	ENSG00000127191
HALLMARK	ALLOGRAFT_REJECTION	3932	ENSG00000182866
HALLMARK	ALLOGRAFT_REJECTION	4869	ENSG00000181163
HALLMARK	ALLOGRAFT_REJECTION	3593	ENSG00000113302
HALLMARK	ALLOGRAFT_REJECTION	1435	ENSG00000184371
HALLMARK	ALLOGRAFT_REJECTION	941	ENSG00000121594
HALLMARK	ALLOGRAFT_REJECTION	4067	ENSG00000254087
HALLMARK	ALLOGRAFT_REJECTION	6357	ENSG00000181374
HALLMARK	ALLOGRAFT_REJECTION	2589	ENSG00000141429
HALLMARK	ALLOGRAFT_REJECTION	6189	ENSG00000145425
HALLMARK	ALLOGRAFT_REJECTION	6363	ENSG00000172724
HALLMARK	ALLOGRAFT_REJECTION	7070	ENSG00000154096
HALLMARK	ALLOGRAFT_REJECTION	6170	ENSG00000198918
HALLMARK	ALLOGRAFT_REJECTION	926	ENSG00000172116
HALLMARK	ALLOGRAFT_REJECTION	2000	ENSG00000102034
HALLMARK	ALLOGRAFT_REJECTION	9450	ENSG00000112799
HALLMARK	ALLOGRAFT_REJECTION	2213	ENSG00000072694
HALLMARK	ALLOGRAFT_REJECTION	5582	ENSG00000126583
HALLMARK	ALLOGRAFT_REJECTION	6203	ENSG00000170889
HALLMARK	ALLOGRAFT_REJECTION	4528	ENSG00000085760
HALLMARK	ALLOGRAFT_REJECTION	10225	ENSG00000153283
HALLMARK	ALLOGRAFT_REJECTION	1956	ENSG00000146648
HALLMARK	ALLOGRAFT_REJECTION	3606	ENSG00000150782
HALLMARK	ALLOGRAFT_REJECTION	11184	ENSG00000104814
HALLMARK	ALLOGRAFT_REJECTION	1445	ENSG00000103653
HALLMARK	ALLOGRAFT_REJECTION	10261	ENSG00000140749
HALLMARK	ALLOGRAFT_REJECTION	2833	ENSG00000186810
HALLMARK	ALLOGRAFT_REJECTION	4689	ENSG00000100365
HALLMARK	ALLOGRAFT_REJECTION	7321	ENSG00000072401
HALLMARK	ALLOGRAFT_REJECTION	8560	ENSG00000143753
HALLMARK	ALLOGRAFT_REJECTION	3551	ENSG00000104365
HALLMARK	ALLOGRAFT_REJECTION	9655	ENSG00000171150
HALLMARK	ALLOGRAFT_REJECTION	6891	ENSG00000204267
HALLMARK	ALLOGRAFT_REJECTION	8672	ENSG00000075151
HALLMARK	ALLOGRAFT_REJECTION	2268	ENSG00000000938
HALLMARK	ALLOGRAFT_REJECTION	11222	ENSG00000114686
HALLMARK	ALLOGRAFT_REJECTION	1984	ENSG00000132507
HALLMARK	ALLOGRAFT_REJECTION	4318	ENSG00000100985
HALLMARK	ALLOGRAFT_REJECTION	6356	ENSG00000172156
HALLMARK	ALLOGRAFT_REJECTION	10333	ENSG00000174130
HALLMARK	ALLOGRAFT_REJECTION	7097	ENSG00000137462
HALLMARK	ALLOGRAFT_REJECTION	822	ENSG00000042493
HALLMARK	ALLOGRAFT_REJECTION	10563	ENSG00000156234
HALLMARK	ALLOGRAFT_REJECTION	355	ENSG00000026103
HALLMARK	ALLOGRAFT_REJECTION	919	ENSG00000198821
HALLMARK	ALLOGRAFT_REJECTION	8767	ENSG00000104312
HALLMARK	ALLOGRAFT_REJECTION	3558	ENSG00000109471
HALLMARK	ALLOGRAFT_REJECTION	8651	ENSG00000185338
HALLMARK	ALLOGRAFT_REJECTION	5552	ENSG00000122862
HALLMARK	ALLOGRAFT_REJECTION	6347	ENSG00000108691
HALLMARK	ALLOGRAFT_REJECTION	7535	ENSG00000115085
HALLMARK	ALLOGRAFT_REJECTION	3559	ENSG00000134460
HALLMARK	ALLOGRAFT_REJECTION	6351	ENSG00000275302
HALLMARK	ALLOGRAFT_REJECTION	3594	ENSG00000096996
HALLMARK	ALLOGRAFT_REJECTION	1234	ENSG00000160791
HALLMARK	ALLOGRAFT_REJECTION	1230	ENSG00000163823
HALLMARK	ALLOGRAFT_REJECTION	4283	ENSG00000138755
HALLMARK	ALLOGRAFT_REJECTION	915	ENSG00000167286
HALLMARK	ALLOGRAFT_REJECTION	3976	ENSG00000128342
HALLMARK	ALLOGRAFT_REJECTION	5196	ENSG00000163737
HALLMARK	ALLOGRAFT_REJECTION	3459	ENSG00000027697
HALLMARK	ALLOGRAFT_REJECTION	3561	ENSG00000147168
HALLMARK	ALLOGRAFT_REJECTION	6772	ENSG00000115415
HALLMARK	ALLOGRAFT_REJECTION	56253	ENSG00000109943
HALLMARK	ALLOGRAFT_REJECTION	2316	ENSG00000196924
HALLMARK	ALLOGRAFT_REJECTION	3458	ENSG00000111537
HALLMARK	ALLOGRAFT_REJECTION	917	ENSG00000160654
HALLMARK	ALLOGRAFT_REJECTION	916	ENSG00000198851
HALLMARK	ALLOGRAFT_REJECTION	4690	ENSG00000158092
HALLMARK	ALLOGRAFT_REJECTION	920	ENSG00000010610
HALLMARK	ALLOGRAFT_REJECTION	3133	ENSG00000204592
HALLMARK	ALLOGRAFT_REJECTION	3574	ENSG00000104432
HALLMARK	ALLOGRAFT_REJECTION	3122	ENSG00000204287
HALLMARK	ALLOGRAFT_REJECTION	5777	ENSG00000111679
HALLMARK	ALLOGRAFT_REJECTION	3592	ENSG00000168811
HALLMARK	ALLOGRAFT_REJECTION	10006	ENSG00000136754
HALLMARK	ALLOGRAFT_REJECTION	3717	ENSG00000096968
HALLMARK	ALLOGRAFT_REJECTION	894	ENSG00000118971
HALLMARK	ALLOGRAFT_REJECTION	7040	ENSG00000105329
HALLMARK	ALLOGRAFT_REJECTION	6885	ENSG00000135341
HALLMARK	ALLOGRAFT_REJECTION	3566	ENSG00000077238
HALLMARK	ALLOGRAFT_REJECTION	3109	ENSG00000242574
HALLMARK	ALLOGRAFT_REJECTION	6354	ENSG00000108688
HALLMARK	ALLOGRAFT_REJECTION	940	ENSG00000178562
HALLMARK	ALLOGRAFT_REJECTION	4050	ENSG00000227507
HALLMARK	ALLOGRAFT_REJECTION	896	ENSG00000112576
HALLMARK	ALLOGRAFT_REJECTION	2149	ENSG00000181104
HALLMARK	ALLOGRAFT_REJECTION	914	ENSG00000116824
HALLMARK	ALLOGRAFT_REJECTION	3596	ENSG00000169194
HALLMARK	ALLOGRAFT_REJECTION	672	ENSG00000012048
HALLMARK	ALLOGRAFT_REJECTION	2069	ENSG00000124882
HALLMARK	ALLOGRAFT_REJECTION	7042	ENSG00000092969
HALLMARK	ALLOGRAFT_REJECTION	4153	ENSG00000165471
HALLMARK	ALLOGRAFT_REJECTION	7076	ENSG00000102265
HALLMARK	ALLOGRAFT_REJECTION	3091	ENSG00000100644
HALLMARK	ALLOGRAFT_REJECTION	2147	ENSG00000180210
HALLMARK	ALLOGRAFT_REJECTION	912	ENSG00000158473
HALLMARK	ALLOGRAFT_REJECTION	3383	ENSG00000090339
HALLMARK	ALLOGRAFT_REJECTION	5551	ENSG00000180644
HALLMARK	ALLOGRAFT_REJECTION	3111	ENSG00000204252
HALLMARK	ALLOGRAFT_REJECTION	3553	ENSG00000125538
HALLMARK	ALLOGRAFT_REJECTION	8477	ENSG00000140030
HALLMARK	ALLOGRAFT_REJECTION	6367	ENSG00000102962
HALLMARK	ALLOGRAFT_REJECTION	7124	ENSG00000232810
HALLMARK	ALLOGRAFT_REJECTION	92	ENSG00000121989
HALLMARK	ALLOGRAFT_REJECTION	3569	ENSG00000136244
HALLMARK	ALLOGRAFT_REJECTION	114548	ENSG00000162711
HALLMARK	ALLOGRAFT_REJECTION	7096	ENSG00000174125
HALLMARK	ALLOGRAFT_REJECTION	7098	ENSG00000164342
HALLMARK	ALLOGRAFT_REJECTION	11146	ENSG00000174842
HALLMARK	ALLOGRAFT_REJECTION	356	ENSG00000117560
HALLMARK	ALLOGRAFT_REJECTION	8807	ENSG00000115607
HALLMARK	ALLOGRAFT_REJECTION	23166	ENSG00000010327
HALLMARK	ALLOGRAFT_REJECTION	4830	ENSG00000239672
HALLMARK	ALLOGRAFT_REJECTION	3624	ENSG00000122641
HALLMARK	ALLOGRAFT_REJECTION	3059	ENSG00000180353
HALLMARK	ALLOGRAFT_REJECTION	8915	ENSG00000142867
HALLMARK	ALLOGRAFT_REJECTION	3586	ENSG00000136634
HALLMARK	ANDROGEN_RESPONSE	595	ENSG00000110092
HALLMARK	ANDROGEN_RESPONSE	8848	ENSG00000102804
HALLMARK	ANDROGEN_RESPONSE	25816	ENSG00000145779
HALLMARK	ANDROGEN_RESPONSE	56172	ENSG00000154122
HALLMARK	ANDROGEN_RESPONSE	2683	ENSG00000086062
HALLMARK	ANDROGEN_RESPONSE	2289	ENSG00000096060
HALLMARK	ANDROGEN_RESPONSE	11057	ENSG00000140526
HALLMARK	ANDROGEN_RESPONSE	3856	ENSG00000170421
HALLMARK	ANDROGEN_RESPONSE	1836	ENSG00000155850
HALLMARK	ANDROGEN_RESPONSE	10397	ENSG00000104419
HALLMARK	ANDROGEN_RESPONSE	2936	ENSG00000104687
HALLMARK	ANDROGEN_RESPONSE	3880	ENSG00000171345
HALLMARK	ANDROGEN_RESPONSE	4189	ENSG00000128590
HALLMARK	ANDROGEN_RESPONSE	10611	ENSG00000163110
HALLMARK	ANDROGEN_RESPONSE	11047	ENSG00000130706
HALLMARK	ANDROGEN_RESPONSE	60481	ENSG00000012660
HALLMARK	ANDROGEN_RESPONSE	10461	ENSG00000153208
HALLMARK	ANDROGEN_RESPONSE	6652	ENSG00000140263
HALLMARK	ANDROGEN_RESPONSE	9455	ENSG00000103942
HALLMARK	ANDROGEN_RESPONSE	25803	ENSG00000124664
HALLMARK	ANDROGEN_RESPONSE	8031	ENSG00000266412
HALLMARK	ANDROGEN_RESPONSE	2185	ENSG00000120899
HALLMARK	ANDROGEN_RESPONSE	3156	ENSG00000113161
HALLMARK	ANDROGEN_RESPONSE	1021	ENSG00000105810
HALLMARK	ANDROGEN_RESPONSE	51171	ENSG00000087076
HALLMARK	ANDROGEN_RESPONSE	8611	ENSG00000067113
HALLMARK	ANDROGEN_RESPONSE	9218	ENSG00000101558
HALLMARK	ANDROGEN_RESPONSE	6319	ENSG00000099194
HALLMARK	ANDROGEN_RESPONSE	10627	ENSG00000101608
HALLMARK	ANDROGEN_RESPONSE	7329	ENSG00000103275
HALLMARK	ANDROGEN_RESPONSE	11099	ENSG00000070778
HALLMARK	ANDROGEN_RESPONSE	4117	ENSG00000111837
HALLMARK	ANDROGEN_RESPONSE	207	ENSG00000142208
HALLMARK	ANDROGEN_RESPONSE	2547	ENSG00000196419
HALLMARK	ANDROGEN_RESPONSE	9510	ENSG00000154734
HALLMARK	ANDROGEN_RESPONSE	23585	ENSG00000183726
HALLMARK	ANDROGEN_RESPONSE	79689	ENSG00000127954
HALLMARK	ANDROGEN_RESPONSE	57178	ENSG00000108175
HALLMARK	ANDROGEN_RESPONSE	5867	ENSG00000168118
